_id,master_id,microorganism_common_name,pathogen_group,indicator_or_pathogen,authors,bib_id,year_published,location_comment,city,country,technology_description,influent_concentration,influent_concentration_qualifier,influent_independent_measurement_or_statistic,effluent_concentration,effluent_concentration_qualifier,effluent_independent_measurement_or_statistic,month,measurement_method,units,lrv,hrt_days,holdingtime_days,depth_meters,temperature_celsius,moisture_content_percent,coagulant,imputed_values
11,1041,Rotavirus,Virus,pathogen,Oragui et al (1995); Pearson et al. (1995),5206,1995,"Catingueira, Campina Grande, Brazil","Catingueira, Campina Grande, Brazil",Brazil,Anaerobic Pond,140000,=,0,38000,0,0,0,Indirect immuno-fluorescent assay; LLC-MK2 and Ma104 cell lines,ff/L,0.6,1,NA,1.5,25,NA,NA,""
12,1043,Rotavirus,Virus,pathogen,Oragui et al (1995); Pearson et al. (1995),5206,1995,"Catingueira, Campina Grande, Brazil","Catingueira, Campina Grande, Brazil",Brazil,Anaerobic Pond,51000,=,0,17000,0,0,0,Indirect immuno-fluorescent assay; LLC-MK2 and Ma104 cell lines,ff/L,0.5,1,NA,2.5,25,NA,NA,""
13,1044,Rotavirus,Virus,pathogen,Oragui et al (1995); Pearson et al. (1995),5206,1995,"Catingueira, Campina Grande, Brazil","Catingueira, Campina Grande, Brazil",Brazil,Anaerobic Pond,51000,=,0,17000,0,0,0,Indirect immuno-fluorescent assay; LLC-MK2 and Ma104 cell lines,ff/L,0.5,1,NA,2.5,25,NA,NA,""
14,1075,helminths,Helminth,pathogen,Ouazzani et al. (1995),5208,1995,"Marrakesh, Morocco","Marrakesh, Morocco",Morocco,Anaerobic Pond,8.25,=,Arithmetic mean of ~25 samples,0.1,0,Arithmetic mean of ~25 samples,Winter,Teleman-Rivas technique modified by Bailenger,eggs / L,1.9,0.4,NA,3,27.66,NA,NA,Temperature
15,1078,helminths,Helminth,pathogen,Ouazzani et al. (1995),5208,1995,"Marrakesh, Morocco","Marrakesh, Morocco",Morocco,Anaerobic Pond,3.14,=,Arithmetic mean of ~25 samples,1.31,0,Arithmetic mean of ~25 samples,Autumn,Teleman-Rivas technique modified by Bailenger,eggs / L,0.4,0.4,NA,3,29,NA,NA,Temperature
16,3751,Helminths,Helminth,pathogen,Ayres et al. (1993),5146,1993,"Nakuru, Kenya","Nakuru, Kenya",Kenya,Anaerobic Pond,658,0,Single sample,483,0,Arithmetic mean of 2 samples,0,Leeds I and II techniques,eggs / L,0.1,0.4,NA,4,24.87,NA,NA,Temperature
17,3766,Ascaris,Helminth,pathogen,Grimason et al. (1996),5171,1996,"Nakuru, Kenya","Nakuru, Kenya",Kenya,Anaerobic Pond,133.3,0,Single sample,88.9,0,Single sample,0,"Filtration, sedimentation and centrifugation",eggs / L,0.2,0.8,NA,1.25,13,NA,NA,Temperature; Depth
18,3767,Ascaris,Helminth,pathogen,Grimason et al. (1996),5171,1996,"Eldoret, Kenya","Eldoret, Kenya",Kenya,Anaerobic Pond,24.3,0,Single sample,3.6,0,Single sample,0,"Filtration, sedimentation and centrifugation",eggs / L,0.8,6.3,NA,1.25,24.5,NA,NA,Temperature; Depth
19,3844,Helminths,Helminth,pathogen,Konate et al. (2013),5180,2013,"Ouagadougou, Burkina Faso","Ouagadougou, Burkina Faso",Burkina Faso,Anaerobic Pond,41,0,(presumably) arithmetic mean of 24 samples,0.45,0,(presumably) arithmetic mean of 24 samples,0,0,eggs / L,2,6.5,NA,3,27.66,NA,NA,Temperature; Depth
20,3845,Protozoan cysts,Protozoa,pathogen,Konate et al. (2013),5180,2013,"Ouagadougou, Burkina Faso","Ouagadougou, Burkina Faso",Burkina Faso,Anaerobic Pond,229,0,(presumably) arithmetic mean of 24 samples,5.4,0,(presumably) arithmetic mean of 24 samples,0,0,cysts / L,1.6,6.5,NA,4.1,28,NA,NA,Temperature; Depth
21,3846,Helminths,Helminth,pathogen,Konat et al. (2013),5180,2013,"2iE Experimental WSP System, Ouagadougou, Burkina Faso","2iE Experimental WSP System, Ouagadougou, Burkina Faso",Burkina Faso,Anaerobic Pond,15.7,0,0,1.5,0,0,0,US EPA (1999) modified by Schwartzbrod (2003) and Victorica and Galvan (2003),eggs / L,1,3.3,NA,2.6,27.66,NA,NA,""
22,3850,Protists,Protozoa,pathogen,Konat et al. (2013),5180,2013,"2iE Experimental WSP System, Ouagadougou, Burkina Faso","2iE Experimental WSP System, Ouagadougou, Burkina Faso",Burkina Faso,Anaerobic Pond,111,0,0,13.4,0,0,0,Adapted from Schwartzbrod and Gaspard (1993),cysts / L,0.9,3.3,NA,2.6,27.66,NA,NA,""
23,3868,Hookworm,Helminth,pathogen,Mara and Silva (1986),5188,1986,"EXTRABES, Campina Grande, Brazil","EXTRABES, Campina Grande, Brazil",Brazil,Anaerobic Pond,419,0,Arithmetic mean of ~108 samples,16,0,Arithmetic mean of ~108 samples,0,EXTRABES Method (centrifugation and microscopy),eggs / L,1.4,6.8,NA,1.25,25.62,NA,NA,""
24,3869,Hookworm,Helminth,pathogen,Mara and Silva (1986),5188,1986,"EXTRABES, Campina Grande, Brazil","EXTRABES, Campina Grande, Brazil",Brazil,Anaerobic Pond,1079,0,Arithmetic mean of ~52 samples,40,0,Arithmetic mean of ~52 samples,0,EXTRABES Method (centrifugation and microscopy),eggs / L,1.4,4,NA,1.25,25.62,NA,NA,""
25,3870,Ascaris,Helminth,pathogen,Mara and Silva (1986),5188,1986,"EXTRABES, Campina Grande, Brazil","EXTRABES, Campina Grande, Brazil",Brazil,Anaerobic Pond,376,0,Arithmetic mean of ~108 samples,13,0,Arithmetic mean of ~108 samples,0,EXTRABES Method (centrifugation and microscopy),eggs / L,1.5,6.8,NA,1.25,25.62,NA,NA,""
26,3871,Ascaris,Helminth,pathogen,Mara and Silva (1986),5188,1986,"EXTRABES, Campina Grande, Brazil","EXTRABES, Campina Grande, Brazil",Brazil,Anaerobic Pond,588,0,Arithmetic mean of ~25 samples,20,0,Arithmetic mean of ~25 samples,0,EXTRABES Method (centrifugation and microscopy),eggs / L,1.5,2,NA,1.25,25.62,NA,NA,""
27,3872,Hookworm,Helminth,pathogen,Mara and Silva (1986),5188,1986,"EXTRABES, Campina Grande, Brazil","EXTRABES, Campina Grande, Brazil",Brazil,Anaerobic Pond,895,0,Arithmetic mean of ~25 samples,25,0,Arithmetic mean of ~25 samples,0,EXTRABES Method (centrifugation and microscopy),eggs / L,1.6,2,NA,1.25,25.62,NA,NA,""
28,3873,Ascaris,Helminth,pathogen,Mara and Silva (1986),5188,1986,"EXTRABES, Campina Grande, Brazil","EXTRABES, Campina Grande, Brazil",Brazil,Anaerobic Pond,397,0,Arithmetic mean of ~52 samples,8,0,Arithmetic mean of ~52 samples,0,EXTRABES Method (centrifugation and microscopy),eggs / L,1.7,4,NA,1.25,25.62,NA,NA,""
29,3881,Helminths,Helminth,pathogen,Oakley (2004),5201,2004,"Danli, Honduras","Danli, Honduras",Honduras,Anaerobic Pond,45,0,Arithmetic mean of 3 samples,2,0,Arithmetic mean of 3 samples,0,Not specified,eggs / L,1.4,2.4,NA,1.25,26,NA,NA,Temperature; Depth
30,3905,Helminths,Helminth,pathogen,Oliveira et al. (1996),,1996,Brazil,Brazil,Brazil,Anaerobic Pond,477,0,0,278,0,0,0,0,eggs / L,0.2,8.5,NA,1.25,28,NA,NA,Temperature; Depth; HRT
31,3922,Total coliforms,Bacteria,indicator,Saqqar and Pescod (1991),5217,1991,"Al Sumra System, Amman, Jordan","Al Sumra System, Amman, Jordan",Jordan,Anaerobic Pond,107000000,0,Geometric mean of ~30 samples,95900000,0,Geometric mean of ~30 samples,January,"Standard Methods, APHA (1980)",MPN / 100 mL,0,4.6,NA,3.5,11.8,NA,NA,Depth
32,3923,Fecal coliforms,Bacteria,indicator,Saqqar and Pescod (1991),5217,1991,"Al Sumra System, Amman, Jordan","Al Sumra System, Amman, Jordan",Jordan,Anaerobic Pond,24800000,0,Geometric mean of ~30 samples,22200000,0,Geometric mean of ~30 samples,December,"Standard Methods, APHA (1980)",MPN / 100 mL,0,5.5,NA,1.5,12.1,NA,NA,Depth
33,3924,Total coliforms,Bacteria,indicator,Saqqar and Pescod (1991),5217,1991,"Al Sumra System, Amman, Jordan","Al Sumra System, Amman, Jordan",Jordan,Anaerobic Pond,107000000,0,Geometric mean of ~30 samples,94200000,0,Geometric mean of ~30 samples,February,"Standard Methods, APHA (1980)",MPN / 100 mL,0.1,4.7,NA,3,14.9,NA,NA,Depth
34,3925,Fecal coliforms,Bacteria,indicator,Saqqar and Pescod (1991),5217,1991,"Al Sumra System, Amman, Jordan","Al Sumra System, Amman, Jordan",Jordan,Anaerobic Pond,24800000,0,Geometric mean of ~30 samples,19000000,0,Geometric mean of ~30 samples,February,"Standard Methods, APHA (1980)",MPN / 100 mL,0.1,4.7,NA,2.6,14.9,NA,NA,Depth
35,3926,Fecal coliforms,Bacteria,indicator,Saqqar and Pescod (1991),5217,1991,"Al Sumra System, Amman, Jordan","Al Sumra System, Amman, Jordan",Jordan,Anaerobic Pond,24800000,0,Geometric mean of ~30 samples,17800000,0,Geometric mean of ~30 samples,March,"Standard Methods, APHA (1980)",MPN / 100 mL,0.1,7,NA,2.6,15.1,NA,NA,Depth
36,3927,Total coliforms,Bacteria,indicator,Saqqar and Pescod (1991),5217,1991,"Al Sumra System, Amman, Jordan","Al Sumra System, Amman, Jordan",Jordan,Anaerobic Pond,107000000,0,Geometric mean of ~30 samples,75200000,0,Geometric mean of ~30 samples,March,"Standard Methods, APHA (1980)",MPN / 100 mL,0.2,7,NA,2.6,15.1,NA,NA,Depth
37,3928,Total coliforms,Bacteria,indicator,Saqqar and Pescod (1991),5217,1991,"Al Sumra System, Amman, Jordan","Al Sumra System, Amman, Jordan",Jordan,Anaerobic Pond,107000000,0,Geometric mean of ~30 samples,65000000,0,Geometric mean of ~30 samples,December,"Standard Methods, APHA (1980)",MPN / 100 mL,0.2,5.5,NA,3.4,12.1,NA,NA,Depth
38,3929,Fecal coliforms,Bacteria,indicator,Saqqar and Pescod (1991),5217,1991,"Al Sumra System, Amman, Jordan","Al Sumra System, Amman, Jordan",Jordan,Anaerobic Pond,24800000,0,Geometric mean of ~30 samples,15000000,0,Geometric mean of ~30 samples,January,"Standard Methods, APHA (1980)",MPN / 100 mL,0.2,4.6,NA,2.6,11.8,NA,NA,Depth
39,3930,Total coliforms,Bacteria,indicator,Saqqar and Pescod (1991),5217,1991,"Al Sumra System, Amman, Jordan","Al Sumra System, Amman, Jordan",Jordan,Anaerobic Pond,94200000,0,Geometric mean of ~30 samples,55700000,0,Geometric mean of ~30 samples,February,"Standard Methods, APHA (1980)",MPN / 100 mL,0.2,4.7,NA,2.6,14.9,NA,NA,Depth
40,3931,Fecal coliforms,Bacteria,indicator,Saqqar and Pescod (1991),5217,1991,"Al Sumra System, Amman, Jordan","Al Sumra System, Amman, Jordan",Jordan,Anaerobic Pond,19000000,0,Geometric mean of ~30 samples,10000000,0,Geometric mean of ~30 samples,February,"Standard Methods, APHA (1980)",MPN / 100 mL,0.3,4.7,NA,2.6,14.9,NA,NA,Depth
41,3933,Total coliforms,Bacteria,indicator,Saqqar and Pescod (1991),5217,1991,"Al Sumra System, Amman, Jordan","Al Sumra System, Amman, Jordan",Jordan,Anaerobic Pond,95900000,0,Geometric mean of ~30 samples,42800000,0,Geometric mean of ~30 samples,January,"Standard Methods, APHA (1980)",MPN / 100 mL,0.4,4.6,NA,2,11.8,NA,NA,Depth
42,3934,Fecal coliforms,Bacteria,indicator,Saqqar and Pescod (1991),5217,1991,"Al Sumra System, Amman, Jordan","Al Sumra System, Amman, Jordan",Jordan,Anaerobic Pond,17800000,0,Geometric mean of ~30 samples,7940000,0,Geometric mean of ~30 samples,March,"Standard Methods, APHA (1980)",MPN / 100 mL,0.4,7,NA,2,15.1,NA,NA,Depth
43,3935,Total coliforms,Bacteria,indicator,Saqqar and Pescod (1991),5217,1991,"Al Sumra System, Amman, Jordan","Al Sumra System, Amman, Jordan",Jordan,Anaerobic Pond,75200000,0,Geometric mean of ~30 samples,32300000,0,Geometric mean of ~30 samples,March,"Standard Methods, APHA (1980)",MPN / 100 mL,0.4,7,NA,3.5,15.1,NA,NA,Depth
44,3936,Fecal coliforms,Bacteria,indicator,Saqqar and Pescod (1991),5217,1991,"Al Sumra System, Amman, Jordan","Al Sumra System, Amman, Jordan",Jordan,Anaerobic Pond,15000000,0,Geometric mean of ~30 samples,6180000,0,Geometric mean of ~30 samples,January,"Standard Methods, APHA (1980)",MPN / 100 mL,0.4,4.6,NA,3.4,11.8,NA,NA,Depth
45,3967,Fecal coliforms,Bacteria,indicator,Saqqar and Pescod (1991),5217,1991,"Al Sumra System, Amman, Jordan","Al Sumra System, Amman, Jordan",Jordan,Anaerobic Pond,22200000,0,Geometric mean of ~30 samples,920000,0,Geometric mean of ~30 samples,December,"Standard Methods, APHA (1980)",MPN / 100 mL,1.4,5.5,NA,4,12.1,NA,NA,Depth
46,3968,Total coliforms,Bacteria,indicator,Saqqar and Pescod (1991),5217,1991,"Al Sumra System, Amman, Jordan","Al Sumra System, Amman, Jordan",Jordan,Anaerobic Pond,65000000,0,Geometric mean of ~30 samples,2590000,0,Geometric mean of ~30 samples,December,"Standard Methods, APHA (1980)",MPN / 100 mL,1.4,5.5,NA,2.3,12.1,NA,NA,Depth
47,3971,Nematodes,Helminth,pathogen,Saqqar and Pescod (1991),5217,1991,"Al Sumra System, Amman, Jordan","Al Sumra System, Amman, Jordan",Jordan,Anaerobic Pond,62,0,Arithmetic mean of 2 samples,8.5,0,Arithmetic mean of 2 samples,January,Sedimentation technique; Koneman et al. (1979),eggs / L,0.9,4.6,NA,3,11.8,NA,NA,Depth
48,3972,Nematodes,Helminth,pathogen,Saqqar and Pescod (1991),5217,1991,"Al Sumra System, Amman, Jordan","Al Sumra System, Amman, Jordan",Jordan,Anaerobic Pond,180.3333333,0,Arithmetic mean of 3 samples,18.66666667,0,Arithmetic mean of 3 samples,February,Sedimentation technique; Koneman et al. (1979),eggs / L,1,4.7,NA,3,14.9,NA,NA,Depth
49,4015,Helminths,Helminth,pathogen,Stott et al. (2003),5234,2003,Brazil,Brazil,Brazil,Anaerobic Pond,992.6,0,0,54,0,0,0,0,eggs / L,1.3,3.3,NA,1.25,23.7,NA,NA,Temperature; Depth; HRT
50,4084,Fecal Coliforms,Bacteria,indicator,von Sperling (2005),2450,2005,"Monte Aprazvel, So Paulo, Brazil","Monte Aprazvel, So Paulo, Brazil",Brazil,Anaerobic Pond,18524232.74,0,0,2634318.917,0,0,0,0,MPN / 100 mL,0.8,12.5,NA,3.5,29,NA,NA,""
51,4085,Fecal Coliforms,Bacteria,indicator,von Sperling (2005),2450,2005,"Adolfo, So Paulo, Brazil","Adolfo, So Paulo, Brazil",Brazil,Anaerobic Pond,29541152.02,0,0,5544718.116,0,0,0,0,MPN / 100 mL,0.7,12,NA,3.5,25,NA,NA,""
52,4086,Fecal Coliforms,Bacteria,indicator,von Sperling (2005),2450,2005,"Alto Alegre, So Paulo, Brazil","Alto Alegre, So Paulo, Brazil",Brazil,Anaerobic Pond,32135071.57,0,0,3397541.438,0,0,0,0,MPN / 100 mL,1,13.9,NA,3,25,NA,NA,""
53,4087,Fecal Coliforms,Bacteria,indicator,von Sperling (2005),2450,2005,"Cajobi, So Paulo, Brazil","Cajobi, So Paulo, Brazil",Brazil,Anaerobic Pond,10710245.89,0,0,5289366.692,0,0,0,0,MPN / 100 mL,0.3,9.2,NA,3.5,26,NA,NA,""
54,4088,Fecal Coliforms,Bacteria,indicator,von Sperling (2005),2450,2005,"Estrela d' Oeste, So Paulo, Brazil","Estrela d' Oeste, So Paulo, Brazil",Brazil,Anaerobic Pond,252578458.1,0,0,7042016.757,0,0,0,0,MPN / 100 mL,1.6,3.1,NA,4,27,NA,NA,""
55,4089,Fecal Coliforms,Bacteria,indicator,von Sperling (2005),2450,2005,"Fernadpolis, So Paulo, Brazil","Fernadpolis, So Paulo, Brazil",Brazil,Anaerobic Pond,35500000,0,0,734000,0,0,0,0,MPN / 100 mL,1.7,11,NA,3,28,NA,NA,""
56,4090,Fecal Coliforms,Bacteria,indicator,von Sperling (2005),2450,2005,"Floreal, So Paulo, Brazil","Floreal, So Paulo, Brazil",Brazil,Anaerobic Pond,23582999.58,0,0,700000,0,0,0,0,MPN / 100 mL,1.5,21.3,NA,4.1,24,NA,NA,""
57,4091,Fecal Coliforms,Bacteria,indicator,von Sperling (2005),2450,2005,"Lins 1, So Paulo, Brazil","Lins 1, So Paulo, Brazil",Brazil,Anaerobic Pond,19600847.54,0,0,1821964.328,0,0,0,0,MPN / 100 mL,1,2.5,NA,4.1,26,NA,NA,""
58,4092,Fecal Coliforms,Bacteria,indicator,von Sperling (2005),2450,2005,"Lins 2, So Paulo, Brazil","Lins 2, So Paulo, Brazil",Brazil,Anaerobic Pond,19600847.54,0,0,1867577.24,0,0,0,0,MPN / 100 mL,1,2.4,NA,4.1,26,NA,NA,""
59,4093,Fecal Coliforms,Bacteria,indicator,von Sperling (2005),2450,2005,"Lins 3, So Paulo, Brazil","Lins 3, So Paulo, Brazil",Brazil,Anaerobic Pond,19600847.54,0,0,1563873.792,0,0,0,0,MPN / 100 mL,1.1,2.5,NA,3,26,NA,NA,""
60,4094,Fecal Coliforms,Bacteria,indicator,von Sperling (2005),2450,2005,"Mones, So Paulo, Brazil","Mones, So Paulo, Brazil",Brazil,Anaerobic Pond,20882044.47,0,0,6074227.916,0,0,0,0,MPN / 100 mL,0.5,12.6,NA,3,27,NA,NA,""
61,4095,Fecal Coliforms,Bacteria,indicator,von Sperling (2005),2450,2005,"Monte Alto - Alvorada, So Paulo, Brazil","Monte Alto - Alvorada, So Paulo, Brazil",Brazil,Anaerobic Pond,24419584.68,0,0,3654586.16,0,0,0,0,MPN / 100 mL,0.8,7.8,NA,3,26,NA,NA,""
62,4096,Fecal Coliforms,Bacteria,indicator,von Sperling (2005),2450,2005,"Nipo, So Paulo, Brazil","Nipo, So Paulo, Brazil",Brazil,Anaerobic Pond,31327448.2,0,0,2310425.888,0,0,0,0,MPN / 100 mL,1.1,12.7,NA,4,27,NA,NA,""
63,4097,Fecal Coliforms,Bacteria,indicator,von Sperling (2005),2450,2005,"Nova Granada - SA, So Paulo, Brazil","Nova Granada - SA, So Paulo, Brazil",Brazil,Anaerobic Pond,204600659.7,0,0,13069548.37,0,0,0,0,MPN / 100 mL,1.2,8.5,NA,3.5,27,NA,NA,""
64,4098,Fecal Coliforms,Bacteria,indicator,von Sperling (2005),2450,2005,"Novo Horizonte, So Paulo, Brazil","Novo Horizonte, So Paulo, Brazil",Brazil,Anaerobic Pond,37608465.71,0,0,6312321.565,0,0,0,0,MPN / 100 mL,0.8,6,NA,3,25,NA,NA,""
65,4099,Fecal Coliforms,Bacteria,indicator,von Sperling (2005),2450,2005,"Presidente Alves, So Paulo, Brazil","Presidente Alves, So Paulo, Brazil",Brazil,Anaerobic Pond,32000000,0,0,3970000,0,0,0,0,MPN / 100 mL,0.9,6.7,NA,3.65,24,NA,NA,""
66,4100,Fecal Coliforms,Bacteria,indicator,von Sperling (2005),2450,2005,"So Francisco, So Paulo, Brazil","So Francisco, So Paulo, Brazil",Brazil,Anaerobic Pond,95700000,0,0,25300000,0,0,0,0,MPN / 100 mL,0.6,5.6,NA,2,25,NA,NA,""
67,37,Cryptosporidium parvum,Protozoa,pathogen,Anceno et al. (2007),3996,2007,"AIT wastewater treatment plant, Pathumthani, Thailand",Pathumthani,Thailand,Facultative Pond,16.21810097,=,Geometric mean of 22 samples,0.758577575,0,Geometeric mean of 44 samples,All Year,0,qPCR copies / L,1.3,3.5,NA,1.5,28,NA,NA,Temperature
68,41,Escherichia coli,Bacteria,indicator,Anceno et al. (2007),3996,2007,"AIT wastewater treatment plant, Pathumthani, Thailand",Pathumthani,Thailand,Facultative Pond,1318256739,=,Geometric mean of 22 samples,21877616.24,0,Geometric mean of 44 samples,All Year,"Standard Methods (APHA, 1998)",MPN / L,1.8,3.5,NA,1.5,25.62,NA,NA,Temperature
69,45,Fecal coliforms,Bacteria,indicator,Anceno et al. (2007),3996,2007,"AIT wastewater treatment plant, Pathumthani, Thailand",Pathumthani,Thailand,Facultative Pond,1479108388,=,Geometric mean of 22 samples,74131024.13,0,Geometric mean of 44 samples,All Year,"Standard Methods (APHA, 1998)",MPN / L,1.3,3.5,NA,1.5,24.375,NA,NA,Temperature
70,49,Giardia,Protozoa,pathogen,Anceno et al. (2007),3996,2007,"AIT wastewater treatment plant, Pathumthani, Thailand",Pathumthani,Thailand,Facultative Pond,446.6835922,=,Geometric mean of 22 samples,26.91534804,0,Geometric mean of 44 samples,All Year,0,qPCR copies / L,1.2,3.5,NA,1.5,25,NA,NA,Temperature
71,65,Culturable Enterovirus,Virus,pathogen,Bausum et al. (1983),5148,1983,"El Paso, TX, USA","El Paso, TX",United States,Facultative Pond,348,=,0,4.6,0,0,0,"Adsorption-Elution Plaque Assay; BGM, HeLa and RD cell lines",pfu/L,1.9,26.7,NA,1.5,21.4,NA,NA,""
72,66,Culturable Enterovirus,Virus,pathogen,Bausum et al. (1983),5148,1983,"Lennox, SD, USA","Lennox, SD, USA",United States,Facultative Pond,162,=,0,0.5,0,0,0,"Adsorption-Elution Plaque Assay; BGM, HeLa and RD cell lines",pfu/L,2.5,41.4,NA,1.5,16.8,NA,NA,""
73,67,Culturable Enterovirus,Virus,pathogen,Bausum et al. (1983),5148,1983,"El Paso, TX, USA","El Paso, TX, USA",United States,Facultative Pond,87,=,0,2.6,0,0,0,"Adsorption-Elution Plaque Assay; BGM, HeLa and RD cell lines",pfu/L,1.5,26.7,NA,1.5,8.2,NA,NA,""
74,68,Culturable Enterovirus,Virus,pathogen,Bausum et al. (1983),5148,1983,"Kermit, TX, USA","Kermit, TX, USA",United States,Facultative Pond,7.5,=,0,1.3,0,0,0,"Adsorption-Elution Plaque Assay; BGM, HeLa and RD cell lines",pfu/L,0.8,15,NA,2.6,21.5,NA,NA,""
75,69,Culturable Enterovirus,Virus,pathogen,Bausum et al. (1983),5148,1983,"Shelby, MS, USA","Shelby, MS, USA",United States,Facultative Pond,53,=,0,0.3,0,0,0,"Adsorption-Elution Plaque Assay; BGM, HeLa and RD cell lines",pfu/L,2.2,48.2,NA,1.2,17.4,NA,NA,""
76,70,Culturable Enterovirus,Virus,pathogen,Bausum et al. (1983),5148,1983,"Beresford, SD, USA","Beresford, SD, USA",United States,Facultative Pond,94,=,0,0.6,0,0,0,"Adsorption-Elution Plaque Assay; BGM, HeLa and RD cell lines",pfu/L,2.2,49.4,NA,1.7,16.8,NA,NA,""
77,71,Culturable Enterovirus,Virus,pathogen,Bausum et al. (1983),5148,1983,"Kermit, TX, USA","Kermit, TX, USA",United States,Facultative Pond,33.6,=,0,9.1,0,0,0,"Adsorption-Elution Plaque Assay; BGM, HeLa and RD cell lines",pfu/L,0.6,15,NA,2.6,9,NA,NA,""
78,72,Culturable Enterovirus,Virus,pathogen,Bausum et al. (1983),5148,1983,"Shelby, MS, USA","Shelby, MS, USA",United States,Facultative Pond,791,=,0,12.7,0,0,0,"Adsorption-Elution Plaque Assay; BGM, HeLa and RD cell lines",pfu/L,1.8,48.2,NA,1.2,23.8,NA,NA,""
79,73,Culturable Enterovirus,Virus,pathogen,Bausum et al. (1983),5148,1983,"Lennox, SD, USA","Lennox, SD, USA",United States,Facultative Pond,216,=,0,11.3,0,0,0,"Adsorption-Elution Plaque Assay; BGM, HeLa and RD cell lines",pfu/L,1.3,41.4,NA,1.5,-5.6,NA,NA,""
80,74,Culturable Enterovirus,Virus,pathogen,Bausum et al. (1983),5148,1983,"Jonestown, MS, USA","Jonestown, MS, USA",United States,Facultative Pond,83,=,0,0.5,0,0,0,"Adsorption-Elution Plaque Assay; BGM, HeLa and RD cell lines",pfu/L,2.2,73.2,NA,2,16.6,NA,NA,""
