master_id,microorganism_common_name,pathogen_group,indicator_or_pathogen,authors,bib_id,year_published,location_comment,city,country,technology_description,influent_concentration,influent_concentration_qualifier,influent_independent_measurement_or_statistic,effluent_concentration,effluent_concentration_qualifier,effluent_independent_measurement_or_statistic,month,measurement_method,units,lrv,hrt_days,holdingtime_days,contact_time_minutes,depth_meters,temperature_celsius,moisture_content_percent,coagulant,material,pH,ammonia_concentration_mmol_per_liter,total_solids_mg_per_liter,imputed_values
4215,Fecal Coliforms,Bacteria,indicator,von Sperling (2005); Herrera et al. (2000),2450,2005,"La Esmeralda, Chile","La Esmeralda, Chile",Chile,Facultative Pond,1900000,0,0,100000,0,0,0,0,MPN / 100 mL,1.3,14.7,NA,NA,1.8,25,NA,NA,NA,NA,NA,NA,
4216,Fecal Coliforms,Bacteria,indicator,von Sperling (2005); Herrera et al. (2000),2450,2005,"La Esmeralda, Chile","La Esmeralda, Chile",Chile,Facultative Pond,100000,0,0,26000,0,0,0,0,MPN / 100 mL,0.6,9.1,NA,NA,1.2,25,NA,NA,NA,NA,NA,NA,
4217,Fecal Coliforms,Bacteria,indicator,von Sperling (2005); Ingallinella et al. (2000),2450,2005,"Alcorta, Argentina","Alcorta, Argentina",Argentina,Facultative Pond,79000000,0,0,960000,0,0,0,0,MPN / 100 mL,1.9,25.3,NA,NA,1.3,15,NA,NA,NA,NA,NA,NA,
4219,Fecal Coliforms,Bacteria,indicator,von Sperling (2005); Ingallinella et al. (2000),2450,2005,"Alcorta, Argentina","Alcorta, Argentina",Argentina,Facultative Pond,700000000,0,0,1200000,0,0,0,0,MPN / 100 mL,2.8,23.4,NA,NA,1.3,18,NA,NA,NA,NA,NA,NA,
4225,Fecal Coliforms,Bacteria,indicator,von Sperling (2005); Sanguinetti et al. (2000),2450,2005,"Alcorta, Argentina","Alcorta, Argentina",Argentina,Facultative Pond,687000000,0,0,1200000,0,0,0,0,MPN / 100 mL,2.8,22.4,NA,NA,1.35,22,NA,NA,NA,NA,NA,NA,
4227,Fecal Coliforms,Bacteria,indicator,von Sperling (2005); Sanguinetti et al. (2000),2450,2005,"Galvez, Argentina","Galvez, Argentina",Argentina,Facultative Pond,75000000,0,0,300000,0,0,0,0,MPN / 100 mL,2.4,7.9,NA,NA,1.3,25,NA,NA,NA,NA,NA,NA,
4230,Fecal Coliforms,Bacteria,indicator,von Sperling (2005); Silva et al. (1998),2450,2005,"Planalto Caucaia, Fortaleza, Brazil","Planalto Caucaia, Fortaleza, Brazil",Brazil,Facultative Pond,180000000,0,0,4300000,0,0,0,0,MPN / 100 mL,1.6,36.9,NA,NA,1.7,29,NA,NA,NA,NA,NA,NA,
4231,Fecal Coliforms,Bacteria,indicator,von Sperling (2005); Silva et al. (1998),2450,2005,"Lagamar, Fortaleza, Brazil","Lagamar, Fortaleza, Brazil",Brazil,Facultative Pond,2400000000,0,0,22000000,0,0,0,0,MPN / 100 mL,2,21.2,NA,NA,2,29,NA,NA,NA,NA,NA,NA,
4232,Fecal Coliforms,Bacteria,indicator,von Sperling (2005); Silva et al. (1998),2450,2005,"So Francisco, Fortaleza, Brazil","So Francisco, Fortaleza, Brazil",Brazil,Facultative Pond,890000000,0,0,6100000,0,0,0,0,MPN / 100 mL,2.2,46.3,NA,NA,1.7,29,NA,NA,NA,NA,NA,NA,
4233,Fecal Coliforms,Bacteria,indicator,von Sperling (2005); Silva et al. (1998),2450,2005,"Esperana, Fortaleza, Brazil","Esperana, Fortaleza, Brazil",Brazil,Facultative Pond,240000000,0,0,2500000,0,0,0,0,MPN / 100 mL,2,58.4,NA,NA,1.7,29,NA,NA,NA,NA,NA,NA,
4234,Fecal Coliforms,Bacteria,indicator,von Sperling (2005); Silva et al. (1998),2450,2005,"Joo Paulo II, Fortaleza, Brazil","Joo Paulo II, Fortaleza, Brazil",Brazil,Facultative Pond,960000000,0,0,7300000,0,0,0,0,MPN / 100 mL,2.1,44.6,NA,NA,1.6,29,NA,NA,NA,NA,NA,NA,
4235,Fecal Coliforms,Bacteria,indicator,von Sperling (2005); Silva et al. (1998),2450,2005,"Jereissati III, Fortaleza, Brazil","Jereissati III, Fortaleza, Brazil",Brazil,Facultative Pond,960000000,0,0,7100000,0,0,0,0,MPN / 100 mL,2.1,77.1,NA,NA,2,29,NA,NA,NA,NA,NA,NA,
4236,Fecal Coliforms,Bacteria,indicator,von Sperling (2005); Silva et al. (2000),2450,2005,"Maracanau, Ceara, Brazil","Maracanau, Ceara, Brazil",Brazil,Facultative Pond,8300000,0,0,150000,0,0,0,0,MPN / 100 mL,1.7,40.1,NA,NA,1.5,29,NA,NA,NA,NA,NA,NA,
4240,Fecal Coliforms,Bacteria,indicator,von Sperling (2005); Yagoubi et al. (2000),2450,2005,"Boujaad, Morocco","Boujaad, Morocco",Morocco,Facultative Pond,3000000,0,0,38000,0,0,0,0,MPN / 100 mL,1.9,13.5,NA,NA,1.5,25,NA,NA,NA,NA,NA,NA,
4243,Fecal Coliforms,Bacteria,indicator,von Sperling (2005); Zimmo et al. (2000),2450,2005,"Birzeit, Palestine","Birzeit, Palestine",Palestine,Facultative Pond,22400,0,0,3720,0,0,0,0,MPN / 100 mL,0.8,7.1,NA,NA,0.9,25,NA,NA,NA,NA,NA,NA,
4244,Fecal Coliforms,Bacteria,indicator,von Sperling (2005); Zimmo et al. (2000),2450,2005,"Birzeit, Palestine","Birzeit, Palestine",Palestine,Facultative Pond,3720,0,0,350,0,0,0,0,MPN / 100 mL,1,7.1,NA,NA,0.9,25,NA,NA,NA,NA,NA,NA,
4247,Fecal Coliforms,Bacteria,indicator,von Sperling (2005); Zimmo et al. (2000),2450,2005,"Birzeit, Palestine","Birzeit, Palestine",Palestine,Facultative Pond,19500,0,0,6830,0,0,0,0,MPN / 100 mL,0.5,7.1,NA,NA,0.9,14,NA,NA,NA,NA,NA,NA,
4248,Fecal Coliforms,Bacteria,indicator,von Sperling (2005); Zimmo et al. (2000),2450,2005,"Birzeit, Palestine","Birzeit, Palestine",Palestine,Facultative Pond,6830,0,0,1980,0,0,0,0,MPN / 100 mL,0.5,7.1,NA,NA,0.9,14,NA,NA,NA,NA,NA,NA,
35,Cryptosporidium parvum,Protozoa,pathogen,Anceno et al. (2007),3996,2007,"AIT wastewater treatment plant, Pathumthani, Thailand",Pathumthani,Thailand,Maturation Pond,26.30267992,=,Geometric mean of 12 samples,32.35936569,0,Geometric mean of 12 samples,All Year,0,qPCR copies / L,-0.1,0.1,NA,NA,1.2,25,NA,NA,NA,NA,NA,NA,Temperature
36,Cryptosporidium parvum,Protozoa,pathogen,Anceno et al. (2007),3996,2007,"AIT wastewater treatment plant, Pathumthani, Thailand",Pathumthani,Thailand,Maturation Pond,20.41737945,=,Geometric mean of 12 samples,9.77237221,0,Geometric mean of 12 samples,All Year,0,qPCR copies / L,0.3,0.1,NA,NA,1.95,27.66,NA,NA,NA,NA,NA,NA,Temperature
39,Escherichia coli,Bacteria,indicator,Anceno et al. (2007),3996,2007,"AIT wastewater treatment plant, Pathumthani, Thailand",Pathumthani,Thailand,Maturation Pond,38904.5145,=,Geometric mean of 12 samples,38904.5145,0,Geometric mean of 12 samples,All Year,"Standard Methods (APHA, 1998)",MPN / L,0,0.1,NA,NA,1.2,29,NA,NA,NA,NA,NA,NA,Temperature
40,Escherichia coli,Bacteria,indicator,Anceno et al. (2007),3996,2007,"AIT wastewater treatment plant, Pathumthani, Thailand",Pathumthani,Thailand,Maturation Pond,30902.95433,=,Geometric mean of 12 samples,18197.00859,0,Geometric mean of 12 samples,All Year,"Standard Methods (APHA, 1998)",MPN / L,0.2,0.1,NA,NA,1.95,25.9,NA,NA,NA,NA,NA,NA,Temperature
42,Escherichia coli,Bacteria,indicator,Anceno et al. (2007),3996,2007,"AIT wastewater treatment plant, Pathumthani, Thailand",Pathumthani,Thailand,Maturation Pond,21877616.24,=,Geometeric mean of 44 samples,251188.6432,0,Geometric mean of 44 samples,All Year,"Standard Methods (APHA, 1998)",MPN / L,1.9,5.5,NA,NA,0.7,25.62,NA,NA,NA,NA,NA,NA,Temperature
43,Fecal coliforms,Bacteria,indicator,Anceno et al. (2007),3996,2007,"AIT wastewater treatment plant, Pathumthani, Thailand",Pathumthani,Thailand,Maturation Pond,194984.46,=,Geometric mean of 12 samples,204173.7945,0,Geometric mean of 12 samples,All Year,"Standard Methods (APHA, 1998)",MPN / L,0,0.1,NA,NA,1.2,11.8,NA,NA,NA,NA,NA,NA,Temperature
44,Fecal coliforms,Bacteria,indicator,Anceno et al. (2007),3996,2007,"AIT wastewater treatment plant, Pathumthani, Thailand",Pathumthani,Thailand,Maturation Pond,104712.8548,=,Geometric mean of 12 samples,109647.8196,0,Geometric mean of 12 samples,All Year,"Standard Methods (APHA, 1998)",MPN / L,0,0.1,NA,NA,1.95,25.1,NA,NA,NA,NA,NA,NA,Temperature
46,Fecal coliforms,Bacteria,indicator,Anceno et al. (2007),3996,2007,"AIT wastewater treatment plant, Pathumthani, Thailand",Pathumthani,Thailand,Maturation Pond,74131024.13,=,Geometeric mean of 44 samples,588843.6554,0,Geometric mean of 44 samples,All Year,"Standard Methods (APHA, 1998)",MPN / L,2.1,5.5,NA,NA,0.7,29.4,NA,NA,NA,NA,NA,NA,Temperature
47,Giardia,Protozoa,pathogen,Anceno et al. (2007),3996,2007,"AIT wastewater treatment plant, Pathumthani, Thailand",Pathumthani,Thailand,Maturation Pond,3890.45145,=,Geometric mean of 12 samples,12589.25412,0,Geometric mean of 12 samples,All Year,0,qPCR copies / L,-0.5,0.1,NA,NA,1.2,25,NA,NA,NA,NA,NA,NA,Temperature
48,Giardia,Protozoa,pathogen,Anceno et al. (2007),3996,2007,"AIT wastewater treatment plant, Pathumthani, Thailand",Pathumthani,Thailand,Maturation Pond,11748.97555,=,Geometric mean of 12 samples,3090.295433,0,Geometric mean of 12 samples,All Year,0,qPCR copies / L,0.6,0.1,NA,NA,1.95,25,NA,NA,NA,NA,NA,NA,Temperature
50,Giardia,Protozoa,pathogen,Anceno et al. (2007),3996,2007,"AIT wastewater treatment plant, Pathumthani, Thailand",Pathumthani,Thailand,Maturation Pond,26.91534804,=,Geometeric mean of 44 samples,0.045708819,0,Geometric mean of 44 samples,All Year,0,qPCR copies / L,2.8,5.5,NA,NA,0.7,27.66,NA,NA,NA,NA,NA,NA,Temperature
89,Culturable Enterovirus,Virus,pathogen,Bausum et al. (1983),5148,1983,"El Paso, TX, USA","El Paso, TX, USA",United States,Maturation Pond,14.3,=,0,1.1,0,0,0,"Adsorption-Elution Plaque Assay; BGM, HeLa and RD cell lines",pfu/L,1.1,8.5,NA,NA,1.5,16.8,NA,NA,NA,NA,NA,NA,
90,Culturable Enterovirus,Virus,pathogen,Bausum et al. (1983),5148,1983,"El Paso, TX, USA","El Paso, TX, USA",United States,Maturation Pond,4.6,=,0,0.6,0,0,0,"Adsorption-Elution Plaque Assay; BGM, HeLa and RD cell lines",pfu/L,0.9,8.5,NA,NA,1.5,21.4,NA,NA,NA,NA,NA,NA,
91,Culturable Enterovirus,Virus,pathogen,Bausum et al. (1983),5148,1983,"Shelby, MS, USA","Shelby, MS, USA",United States,Maturation Pond,12.7,=,0,0.8,0,0,0,"Adsorption-Elution Plaque Assay; BGM, HeLa and RD cell lines",pfu/L,1.2,24.1,NA,NA,1.2,23.8,NA,NA,NA,NA,NA,NA,
92,Culturable Enterovirus,Virus,pathogen,Bausum et al. (1983),5148,1983,"El Paso, TX, USA","El Paso, TX, USA",United States,Maturation Pond,2.6,=,0,1,0,0,0,"Adsorption-Elution Plaque Assay; BGM, HeLa and RD cell lines",pfu/L,0.4,8.5,NA,NA,1.5,8.2,NA,NA,NA,NA,NA,NA,
93,Culturable Enterovirus,Virus,pathogen,Bausum et al. (1983),5148,1983,"Shelby, MS, USA","Shelby, MS, USA",United States,Maturation Pond,2.6,=,0,0.7,0,0,0,"Adsorption-Elution Plaque Assay; BGM, HeLa and RD cell lines",pfu/L,0.6,24.1,NA,NA,1.2,8.9,NA,NA,NA,NA,NA,NA,
94,Culturable Enterovirus,Virus,pathogen,Bausum et al. (1983),5148,1983,"Lennox, SD, USA","Lennox, SD, USA",United States,Maturation Pond,1.2,=,0,0.3,0,0,0,"Adsorption-Elution Plaque Assay; BGM, HeLa and RD cell lines",pfu/L,0.6,26.6,NA,NA,1.5,7.5,NA,NA,NA,NA,NA,NA,
95,Culturable Enterovirus,Virus,pathogen,Bausum et al. (1983),5148,1983,"Shelby, MS, USA","Shelby, MS, USA",United States,Maturation Pond,0.3,=,0,0.2,0,0,0,"Adsorption-Elution Plaque Assay; BGM, HeLa and RD cell lines",pfu/L,0.2,24.1,NA,NA,1.2,17.4,NA,NA,NA,NA,NA,NA,
96,Culturable Enterovirus,Virus,pathogen,Bausum et al. (1983),5148,1983,"Lennox, SD, USA","Lennox, SD, USA",United States,Maturation Pond,0.5,=,0,0.3,0,0,0,"Adsorption-Elution Plaque Assay; BGM, HeLa and RD cell lines",pfu/L,0.2,26.6,NA,NA,1.5,16.8,NA,NA,NA,NA,NA,NA,
97,Culturable Enterovirus,Virus,pathogen,Bausum et al. (1983),5148,1983,"Lennox, SD, USA","Lennox, SD, USA",United States,Maturation Pond,11.3,=,0,10.5,0,0,0,"Adsorption-Elution Plaque Assay; BGM, HeLa and RD cell lines",pfu/L,0,26.6,NA,NA,1.5,-5.6,NA,NA,NA,NA,NA,NA,
239,Fecal coliforms,Bacteria,indicator,Dixo et al. (1995),5300,1995,"Pedregal, Campina Grande, Paraiba, Brazil","Pedregal, Campina Grande, Paraiba, Brazil",Brazil,Maturation Pond,600000,=,Geometric mean of ~180 samples,28000,0,Geometric mean of ~180 samples,0,membrane filtration with sodium lauryl sulfate broth,cfu / 100 mL,1.3,5,NA,NA,0.65,28,NA,NA,NA,NA,NA,NA,Temperature
240,Fecal coliforms,Bacteria,indicator,Dixo et al. (1995),5300,1995,"Pedregal, Campina Grande, Paraiba, Brazil","Pedregal, Campina Grande, Paraiba, Brazil",Brazil,Maturation Pond,28000,=,Geometric mean of ~180 samples,3700,0,Geometric mean of ~180 samples,0,membrane filtration with sodium lauryl sulfate broth,cfu / 100 mL,0.9,5,NA,NA,0.65,28.6,NA,NA,NA,NA,NA,NA,Temperature
241,Fecal coliforms,Bacteria,indicator,Dixo et al. (1995),5300,1995,"Pedregal, Campina Grande, Paraiba, Brazil","Pedregal, Campina Grande, Paraiba, Brazil",Brazil,Maturation Pond,3700,=,Geometric mean of ~180 samples,610,0,Geometric mean of ~180 samples,0,membrane filtration with sodium lauryl sulfate broth,cfu / 100 mL,0.8,5,NA,NA,0.65,11.8,NA,NA,NA,NA,NA,NA,Temperature
669,Clostridium perfringens,Bacteria,pathogen,Garcia et al. (2008),3225,2008,"Mansilla de las Mulas, Leon, Spain","Mansilla de las Mulas, Leon, Spain",Spain,Maturation Pond,0,=,Geometric Mean of 104 samples,0,0,Geometric Mean of 104 samples,0,"spread-plate method with Perfringens Agar-OPSP,Standard methods (APHA, 1989)",0,1.6,10,NA,NA,0.3,25.62,NA,NA,NA,NA,NA,NA,Temperature
670,Clostridium perfringens,Bacteria,pathogen,Garcia et al. (2008),3225,2008,"Mansilla de las Mulas, Leon, Spain","Mansilla de las Mulas, Leon, Spain",Spain,Maturation Pond,0,=,Geometric Mean of 52 samples,0,0,Geometric Mean of 52 samples,0,"spread-plate method with Perfringens Agar-OPSP,Standard methods (APHA, 1989)",0,1.5,10,NA,NA,0.3,25.62,NA,NA,NA,NA,NA,NA,Temperature
671,Clostridium perfringens,Bacteria,pathogen,Garcia et al. (2008),3225,2008,"Mansilla de las Mulas, Leon, Spain","Mansilla de las Mulas, Leon, Spain",Spain,Maturation Pond,0,=,Geometric Mean of 52 samples,0,0,Geometric Mean of 52 samples,0,"spread-plate method with Perfringens Agar-OPSP,Standard methods (APHA, 1989)",0,1.7,10,NA,NA,0.3,29,NA,NA,NA,NA,NA,NA,Temperature
672,Clostridium perfringens,Bacteria,pathogen,Garcia et al. (2008),3225,2008,"Mansilla de las Mulas, Leon, Spain","Mansilla de las Mulas, Leon, Spain",Spain,Maturation Pond,50118.72336,=,Geometric Mean of 104 samples,2170,0,Geometric Mean of 104 samples,0,"spread-plate method with Perfringens Agar-OPSP,Standard methods (APHA, 1989)",0,1.4,20,NA,NA,0.75,25,NA,NA,NA,NA,NA,NA,Temperature
673,Clostridium perfringens,Bacteria,pathogen,Garcia et al. (2008),3225,2008,"Mansilla de las Mulas, Leon, Spain","Mansilla de las Mulas, Leon, Spain",Spain,Maturation Pond,0,=,Geometric Mean of 52 samples,0,0,Geometric Mean of 52 samples,0,"spread-plate method with Perfringens Agar-OPSP,Standard methods (APHA, 1989)",0,1.1,20,NA,NA,0.75,29,NA,NA,NA,NA,NA,NA,Temperature
674,Clostridium perfringens,Bacteria,pathogen,Garcia et al. (2008),3225,2008,"Mansilla de las Mulas, Leon, Spain","Mansilla de las Mulas, Leon, Spain",Spain,Maturation Pond,0,=,Geometric Mean of 52 samples,0,0,Geometric Mean of 52 samples,0,"spread-plate method with Perfringens Agar-OPSP,Standard methods (APHA, 1989)",0,1.5,20,NA,NA,0.75,24.8,NA,NA,NA,NA,NA,NA,Temperature
1012,Culturable Enteric virus,Virus,pathogen,Nupen (1970),5199,1970,"Windhoek, Namibia","Windhoek, Namibia",Namibia,Maturation Pond,1152,=,0,60,0,0,0,"Roller Tube Method, VMK cell line",TCID50/L,1.3,14,NA,NA,1.5,19.8,NA,NA,NA,NA,NA,NA,Depth
1013,Culturable Enteric virus,Virus,pathogen,Nupen (1970),5199,1970,"Windhoek, Namibia","Windhoek, Namibia",Namibia,Maturation Pond,30,=,0,0,1,0,0,"Roller Tube Method, VMK cell line",TCID50/L,1.5,14,NA,NA,1.95,19.8,NA,NA,NA,NA,NA,NA,Depth
1014,Enterovirus,Virus,pathogen,Nupen (1970),5199,1970,"Windhoek, Namibia","Windhoek, Namibia",Namibia,Maturation Pond,30,=,0,0,1,0,0,"Plaque Assay, VMK cell line",pfu/L,1.5,14,NA,NA,1.5,19.8,NA,NA,NA,NA,NA,NA,Depth
1015,Enterovirus,Virus,pathogen,Nupen (1970),5199,1970,"Windhoek, Namibia","Windhoek, Namibia",Namibia,Maturation Pond,88,=,0,0,1,0,0,"Plaque Assay, VMK cell line",pfu/L,1.9,14,NA,NA,1.5,19.8,NA,NA,NA,NA,NA,NA,Depth
1022,Culturable Enteric virus,Virus,pathogen,Oragui et al (1987),5067,1987,"EXTRABES, Campina Grande, Brazil","EXTRABES, Campina Grande, Brazil",Brazil,Maturation Pond,400,=,0,50,0,0,0,Adsorption-Elution Plaque Assay; BMG cell line,pfu/L,0.9,5,NA,NA,2.8,25.1,NA,NA,NA,NA,NA,NA,
1024,Culturable Enteric virus,Virus,pathogen,Oragui et al (1987),5067,1987,"EXTRABES, Campina Grande, Brazil","EXTRABES, Campina Grande, Brazil",Brazil,Maturation Pond,50,=,0,9,0,0,0,Adsorption-Elution Plaque Assay; BMG cell line,pfu/L,0.7,5,NA,NA,2.8,25.1,NA,NA,NA,NA,NA,NA,
1025,Culturable Enteric virus,Virus,pathogen,Oragui et al (1987),5067,1987,"EXTRABES, Campina Grande, Brazil","EXTRABES, Campina Grande, Brazil",Brazil,Maturation Pond,1000,=,0,400,0,0,0,Adsorption-Elution Plaque Assay; BMG cell line,pfu/L,0.4,4.9,NA,NA,3.3,25.1,NA,NA,NA,NA,NA,NA,
1028,Rotavirus,Virus,pathogen,Oragui et al (1987),5067,1987,"EXTRABES, Campina Grande, Brazil","EXTRABES, Campina Grande, Brazil",Brazil,Maturation Pond,30,=,0,10,0,0,0,Indirect immuno-fluorescent assay; LLC-MK2 and Ma104 cell lines,ff/10L,0.5,5,NA,NA,2.8,25.1,NA,NA,NA,NA,NA,NA,
1029,Rotavirus,Virus,pathogen,Oragui et al (1987),5067,1987,"EXTRABES, Campina Grande, Brazil","EXTRABES, Campina Grande, Brazil",Brazil,Maturation Pond,10,=,0,3,0,0,0,Indirect immuno-fluorescent assay; LLC-MK2 and Ma104 cell lines,ff/10L,0.5,5,NA,NA,2.8,25.1,NA,NA,NA,NA,NA,NA,
1030,Rotavirus,Virus,pathogen,Oragui et al (1987),5067,1987,"EXTRABES, Campina Grande, Brazil","EXTRABES, Campina Grande, Brazil",Brazil,Maturation Pond,70,=,0,30,0,0,0,Indirect immuno-fluorescent assay; LLC-MK2 and Ma104 cell lines,ff/10L,0.4,4.9,NA,NA,3.3,25.1,NA,NA,NA,NA,NA,NA,
1033,Salmonella,Bacteria,pathogen,Oragui et al (1987),5067,1987,"EXTRABES, Campina Grande, Brazil","EXTRABES, Campina Grande, Brazil",Brazil,Maturation Pond,0.1,=,0,0.02,0,0,0,MPN Method; Muller Kauffmann broth 43ĄC 24 h; Brilliant Green agar 43ĄC 24 h,MPN/100mL,0.7,4.9,NA,NA,3.3,25.1,NA,NA,NA,NA,NA,NA,
1034,Salmonella,Bacteria,pathogen,Oragui et al (1987),5067,1987,"EXTRABES, Campina Grande, Brazil","EXTRABES, Campina Grande, Brazil",Brazil,Maturation Pond,0.02,=,0,0.01,0,0,0,MPN Method; Muller Kauffmann broth 43ĄC 24 h; Brilliant Green agar 43ĄC 24 h,MPN/100mL,0.3,5,NA,NA,2.8,25.1,NA,NA,NA,NA,NA,NA,
1036,Rotavirus,Virus,pathogen,Oragui et al (1995); Pearson et al. (1995),5206,1995,"Catingueira, Campina Grande, Brazil","Catingueira, Campina Grande, Brazil",Brazil,Maturation Pond,220,=,0,0.5,0,0,0,Indirect immuno-fluorescent assay; LLC-MK2 and Ma104 cell lines,ff/L,2.6,2,NA,NA,1.5,25,NA,NA,NA,NA,NA,NA,
1037,Rotavirus,Virus,pathogen,Oragui et al (1995); Pearson et al. (1995),5206,1995,"Catingueira, Campina Grande, Brazil","Catingueira, Campina Grande, Brazil",Brazil,Maturation Pond,4600,=,0,810,0,0,0,Indirect immuno-fluorescent assay; LLC-MK2 and Ma104 cell lines,ff/L,0.8,1,NA,NA,0.4,25,NA,NA,NA,NA,NA,NA,
1038,Rotavirus,Virus,pathogen,Oragui et al (1995); Pearson et al. (1995),5206,1995,"Catingueira, Campina Grande, Brazil","Catingueira, Campina Grande, Brazil",Brazil,Maturation Pond,1530,=,0,0.5,0,0,0,Indirect immuno-fluorescent assay; LLC-MK2 and Ma104 cell lines,ff/L,3.5,5,NA,NA,0.6,25,NA,NA,NA,NA,NA,NA,
1039,Rotavirus,Virus,pathogen,Oragui et al (1995); Pearson et al. (1995),5206,1995,"Catingueira, Campina Grande, Brazil","Catingueira, Campina Grande, Brazil",Brazil,Maturation Pond,1530,=,0,2,0,0,0,Indirect immuno-fluorescent assay; LLC-MK2 and Ma104 cell lines,ff/L,2.9,4.2,NA,NA,0.6,25,NA,NA,NA,NA,NA,NA,
1040,Rotavirus,Virus,pathogen,Oragui et al (1995); Pearson et al. (1995),5206,1995,"Catingueira, Campina Grande, Brazil","Catingueira, Campina Grande, Brazil",Brazil,Maturation Pond,1530,=,0,1,0,0,0,Indirect immuno-fluorescent assay; LLC-MK2 and Ma104 cell lines,ff/L,3.2,5,NA,NA,0.6,25,NA,NA,NA,NA,NA,NA,
1042,Rotavirus,Virus,pathogen,Oragui et al (1995); Pearson et al. (1995),5206,1995,"Catingueira, Campina Grande, Brazil","Catingueira, Campina Grande, Brazil",Brazil,Maturation Pond,1530,=,0,4,0,0,0,Indirect immuno-fluorescent assay; LLC-MK2 and Ma104 cell lines,ff/L,2.6,5,NA,NA,0.6,25,NA,NA,NA,NA,NA,NA,
1045,Rotavirus,Virus,pathogen,Oragui et al (1995); Pearson et al. (1995),5206,1995,"Catingueira, Campina Grande, Brazil","Catingueira, Campina Grande, Brazil",Brazil,Maturation Pond,2400,=,0,700,0,0,0,Indirect immuno-fluorescent assay; LLC-MK2 and Ma104 cell lines,ff/L,0.5,2,NA,NA,1.5,25,NA,NA,NA,NA,NA,NA,
1046,Rotavirus,Virus,pathogen,Oragui et al (1995); Pearson et al. (1995),5206,1995,"Catingueira, Campina Grande, Brazil","Catingueira, Campina Grande, Brazil",Brazil,Maturation Pond,700,=,0,220,0,0,0,Indirect immuno-fluorescent assay; LLC-MK2 and Ma104 cell lines,ff/L,0.5,2,NA,NA,1.5,25,NA,NA,NA,NA,NA,NA,
1047,Rotavirus,Virus,pathogen,Oragui et al (1995); Pearson et al. (1995),5206,1995,"Catingueira, Campina Grande, Brazil","Catingueira, Campina Grande, Brazil",Brazil,Maturation Pond,6200,=,0,2400,0,0,0,Indirect immuno-fluorescent assay; LLC-MK2 and Ma104 cell lines,ff/L,0.4,2,NA,NA,1.5,25,NA,NA,NA,NA,NA,NA,
1048,Rotavirus,Virus,pathogen,Oragui et al (1995); Pearson et al. (1995),5206,1995,"Catingueira, Campina Grande, Brazil","Catingueira, Campina Grande, Brazil",Brazil,Maturation Pond,22000,=,0,12000,0,0,0,Indirect immuno-fluorescent assay; LLC-MK2 and Ma104 cell lines,ff/L,0.3,2,NA,NA,1.5,25,NA,NA,NA,NA,NA,NA,
1049,Rotavirus,Virus,pathogen,Oragui et al (1995); Pearson et al. (1995),5206,1995,"Catingueira, Campina Grande, Brazil","Catingueira, Campina Grande, Brazil",Brazil,Maturation Pond,4600,=,0,2000,0,0,0,Indirect immuno-fluorescent assay; LLC-MK2 and Ma104 cell lines,ff/L,0.4,3,NA,NA,0.4,25,NA,NA,NA,NA,NA,NA,
1050,Rotavirus,Virus,pathogen,Oragui et al (1995); Pearson et al. (1995),5206,1995,"Catingueira, Campina Grande, Brazil","Catingueira, Campina Grande, Brazil",Brazil,Maturation Pond,4600,=,0,2000,0,0,0,Indirect immuno-fluorescent assay; LLC-MK2 and Ma104 cell lines,ff/L,0.4,3,NA,NA,0.4,25,NA,NA,NA,NA,NA,NA,
1052,Rotavirus,Virus,pathogen,Oragui et al (1995); Pearson et al. (1995),5206,1995,"Catingueira, Campina Grande, Brazil","Catingueira, Campina Grande, Brazil",Brazil,Maturation Pond,9100,=,0,6200,0,0,0,Indirect immuno-fluorescent assay; LLC-MK2 and Ma104 cell lines,ff/L,0.2,2,NA,NA,1.5,25,NA,NA,NA,NA,NA,NA,
1054,Rotavirus,Virus,pathogen,Oragui et al (1995); Pearson et al. (1995),5206,1995,"Catingueira, Campina Grande, Brazil","Catingueira, Campina Grande, Brazil",Brazil,Maturation Pond,4600,=,0,1500,0,0,0,Indirect immuno-fluorescent assay; LLC-MK2 and Ma104 cell lines,ff/L,0.5,5,NA,NA,0.6,25,NA,NA,NA,NA,NA,NA,
1056,Rotavirus,Virus,pathogen,Oragui et al (1995); Pearson et al. (1995),5206,1995,"Catingueira, Campina Grande, Brazil","Catingueira, Campina Grande, Brazil",Brazil,Maturation Pond,4600,=,0,1100,0,0,0,Indirect immuno-fluorescent assay; LLC-MK2 and Ma104 cell lines,ff/L,0.6,7,NA,NA,0.9,25,NA,NA,NA,NA,NA,NA,
1059,Rotavirus,Virus,pathogen,Oragui et al (1995); Pearson et al. (1995),5206,1995,"Catingueira, Campina Grande, Brazil","Catingueira, Campina Grande, Brazil",Brazil,Maturation Pond,7040,=,0,4600,0,0,0,Indirect immuno-fluorescent assay; LLC-MK2 and Ma104 cell lines,ff/L,0.2,3.8,NA,NA,1,25,NA,NA,NA,NA,NA,NA,
1060,Rotavirus,Virus,pathogen,Oragui et al (1995); Pearson et al. (1995),5206,1995,"Catingueira, Campina Grande, Brazil","Catingueira, Campina Grande, Brazil",Brazil,Maturation Pond,12000,=,0,9100,0,0,0,Indirect immuno-fluorescent assay; LLC-MK2 and Ma104 cell lines,ff/L,0.1,2,NA,NA,1.5,25,NA,NA,NA,NA,NA,NA,
